Year	RSDN(1)_Night=0	RSUP(1)_Night=0	RLDN(1)	RLUP(1)	RNET(1)	PPT(1)	NEE 	GPP	RE 	ET	H	LE	 T_AIR(1)	T_SOIL
2010	7757.24	575.9418188	8536.508606	13587.66804	2130.138743	0	-1.6848786	2.589534	0.904656	0.367068	3855.093827	497.5810972	-10.24612292	-2.661952083
2010	6445.97	462.751658	9872.564763	14274.31285	1581.470255	0	-0.4386707	1.736929	1.298258	0.278571	3381.76064	377.6191388	-6.853976875	-2.706839583
2010	7774.19	570.3280092	8967.32032	14203.56132	1967.620992	0	-1.5269203	2.806679	1.279759	0.360135	4006.020144	488.1831464	-6.796407708	-2.63129375
2010	7931.56	532.3689392	8994.439911	14261.54633	2132.084646	0	-1.5637781	2.896106	1.332328	0.334755	3282.521348	453.7786913	-6.683851708	-2.91336875
2010	6089.01	376.3991165	11453.64649	15080.66703	2085.590339	0	0.2151983	1.6573	1.872498	0.330339	2467.998303	447.7923147	-2.688815604	-2.444408333
2010	883.62	11.08967462	15022.99726	16111.62534	-216.0977512	0	1.6626183	0.786977	2.449595	0.122968	392.9845967	166.6893088	1.876988727	-0.94743375
2010	762.46	10.5644704	14952.30692	15973.81872	-269.616269	7	1.6094235	0.482772	2.092196	0.171933	-174.0777526	233.0640781	-0.295951631	-0.5389
2010	970.32	4.218216466	14797.17872	16163.05527	-399.7747617	1	1.3555802	0.915647	2.271227	0.310537	-843.4900944	420.9505085	1.032731821	-0.315235208
2010	2334.48	211.7419055	13862.77076	15655.39316	330.1156872	2.5	0.4608157	1.627041	2.087857	0.785455	-717.4802271	1064.7283	0.15991254	-0.268563542
2010	3442.37	115.0492946	13801.61718	15460.23154	1668.706346	0.5	-0.5910772	2.429896	1.838819	0.6289	809.315216	852.5088361	-1.375839431	-0.242987708
2010	4310.24	726.4314404	12170.80603	14937.81383	816.8007552	0	-0.9115915	2.484862	1.573271	0.628811	-141.1286505	852.3877819	-3.197077229	-0.282671458
2010	4847.11	572.2503654	11206.5464	14597.42366	883.98237	0	-1.8412001	3.188493	1.347293	0.735828	1035.097946	997.4557786	-4.978765625	-0.7048325
2010	5812.35	517.9858494	10478.49255	14600.27383	1172.582871	0	-1.1790025	2.525382	1.346379	0.842107	1506.369043	1141.523405	-4.756740042	-1.134390208
2010	8726.75	664.4408432	9324.416891	14382.06949	3004.656558	0.5	-1.1043836	2.31219	1.207806	0.639593	3862.981496	867.0039558	-5.927813667	-1.68376875
2010	4743.98	239.7532462	10790.11101	14438.5257	855.8120627	0	-0.9500902	2.122049	1.171959	0.284671	1876.923328	385.8866779	-6.213363833	-2.236864583
2010	8792.54	672.2713328	11055.8782	14823.34347	4352.803397	0	-0.5827822	1.946932	1.36415	0.617714	4918.28049	837.3457813	-3.95033875	-1.4549875
2010	8232.74	542.6368147	10834.45694	14872.18038	3652.379744	0	-0.6855928	2.068429	1.382836	0.533784	4533.688278	723.5737378	-3.780127917	-1.885239583
2010	7555.99	439.2237584	11065.12173	15498.27611	2683.611861	0	-0.9004585	2.674034	1.773575	0.328874	3457.883891	445.8071416	-0.432803688	-1.38749125
